Date,High,Low,Close,upper_bb,middle_bb,lower_bb,%k,%d,buy_price,sell_price,bb_stoch_signal,position
2021-08-26,3525.764844913338,3487.8069456666244,3510.7060546875,3579.792313587884,2948.4278035996163,3264.11005859375,94.0149207448878,90.19680970656248,,,0,0
2021-08-27,3565.8259867904244,3490.8667672866904,3556.88623046875,3614.5966396012514,2963.757315476874,3289.1769775390626,97.77113413833638,94.2943772411896,,,0,0
2021-08-30,3576.2000570986497,3525.765058211738,3538.86376953125,3634.0229809601888,2995.373063961686,3314.6980224609374,90.80634620480204,94.19746702934206,,,0,0
2021-08-31,3637.1524031815197,3540.919414361966,3620.27685546875,3668.531129846807,3015.0813945672553,3341.806262207031,96.30827348802127,94.96191794371988,,,0,0
2021-09-01,3649.199119965819,3544.313493535115,3551.91455078125,3687.5604220295772,3037.1698025797978,3362.3651123046875,79.2643056235982,88.79297510547383,,,0,0
2021-09-02,3689.786239129228,3558.655333315347,3668.369384765625,3722.55180410286,3055.988503514328,3389.270153808594,95.53475113941555,90.36911008367834,,,0,0
2021-09-03,3687.6354064443703,3637.5829865645896,3673.437255859375,3750.5854890020264,3081.315585216724,3415.950537109375,95.9542372281269,90.25109799704687,,,0,0
2021-09-06,3707.426800884438,3646.617872513467,3682.9501953125,3774.817657207948,3108.923895526427,3441.8707763671873,93.82535790570329,95.1047820910819,,,0,0
2021-09-07,3700.1123204910336,3641.1201494332095,3648.434326171875,3785.936399298955,3144.96071984167,3465.4485595703127,83.65991520341566,91.14650344574859,,,0,0
2021-09-08,3647.5739414621385,3591.1632304408367,3608.5166015625,3784.6601929794488,3188.329846083051,3486.49501953125,72.60326758552912,83.362846898216,,,0,0
2021-09-09,3641.550581039637,3599.768454691674,3625.009765625,3778.847252574536,3236.9002327770263,3507.873742675781,72.69560630678961,76.31959636524478,,,0,0
2021-09-13,3683.3322115122605,3601.6801974076593,3676.591796875,3771.717882350835,3291.2233530007275,3531.4706176757813,88.61216429214738,77.97034606148868,,,0,0
2021-09-14,3725.49695893846,3657.1348307300423,3715.362060546875,3781.722013584963,3321.6149737197247,3551.668493652344,96.33784195710756,85.88187085201484,,,0,0
2021-09-15,3805.3328046207653,3696.3358348401703,3780.999755859375,3799.453951425299,3349.9294958403266,3574.6917236328127,92.33667177799695,92.42889267575062,,,0,0
2021-09-16,3807.0058549372,3721.290352176554,3731.998779296875,3810.316681803357,3372.554680501331,3591.435681152344,76.27402666409756,88.31618013306735,,,0,0
2021-09-17,3771.8684881325025,3638.0125722038456,3659.85986328125,3806.287695435928,3402.140551634385,3604.2141235351564,47.679713125123456,72.09680385573931,,,0,0
2021-09-20,3701.116083743012,3640.7375977571546,3655.70068359375,3796.3391080430947,3437.3305696912803,3616.8348388671875,43.13683515163197,55.696858313617646,,,0,0
2021-09-21,3701.642104924183,3653.931890426412,3693.41943359375,3797.6042952268012,3457.630519226324,3627.6174072265626,56.76066835853243,49.19240554509594,,,0,0
2021-09-22,3725.8321204504605,3683.3805280672464,3692.65478515625,3790.812270409602,3488.224985449773,3639.5186279296877,53.95577628177285,51.284426597312404,,,0,0
2021-09-23,3708.764979510928,3666.6959774231523,3699.44287109375,3787.5156565302427,3511.623845422882,3649.5697509765623,50.166013735965095,53.627486125423445,,,0,0
2021-09-24,3771.2946000190373,3685.818132800062,3701.40283203125,3782.1992262487406,3536.0099534387596,3659.10458984375,51.074064655969096,51.731951557902335,,,0,0
2021-09-27,3732.668267864891,3636.0050695043565,3668.560791015625,3778.0026376370342,3551.373998105153,3664.6883178710937,35.85833000102918,45.69946946432111,,,0,0
2021-09-28,3681.0378704649884,3586.621639371893,3613.297119140625,3768.4340495292026,3568.3859211739227,3668.4099853515627,12.10407909672975,33.012157917909335,,,0,0
2021-09-29,3638.968845752234,3558.798616355393,3625.487548828125,3768.1925815969453,3569.148458442117,3668.670520019531,26.868246411255235,24.943551836338045,,,0,0
2021-09-30,3638.0124811077235,3585.5219344748302,3609.85498046875,3759.474789499434,3583.660293508379,3671.5675415039063,20.570054445261217,19.84745998441539,,,0,0
2021-10-01,3642.7932830762215,3561.523616655886,3566.495361328125,3766.1760487180686,3566.7716319459937,3666.473840332031,3.100934935141057,16.846411930552495,,,0,0
2021-10-04,3617.599983744766,3544.7441569014923,3607.704345703125,3766.201596234641,3560.1727934137966,3663.1871948242188,24.00662745387261,15.892538944758286,,,0,0
2021-10-05,3671.476716074577,3577.3952185956473,3665.07080078125,3764.894990662554,3559.691459532759,3662.2932250976564,45.88037246040206,24.329311616471898,,,0,0
2021-10-06,3688.1602091207715,3628.4509639227426,3643.653076171875,3764.8140502928627,3559.2942749024496,3662.054162597656,43.54835905704068,37.81178632377177,,,0,0
2021-10-07,3727.8875631078663,3652.40242818055,3722.05517578125,3770.582414474412,3564.879768142776,3667.731091308594,78.26558025656144,55.89810392466804,,,0,0
2021-10-08,3814.797630566285,3728.843109690305,3762.928466796875,3783.722566283359,3565.5314864510165,3674.6270263671877,80.79300256148775,67.5356472916966,,,0,0
2021-10-11,3592.597763393454,3499.3766637445224,3523.853271484375,3795.213701605247,3538.766498590065,3666.990100097656,7.759981204319814,55.606188007456325,,,0,0
2021-10-12,3544.3137505535665,3471.2667517896325,3492.540283203125,3803.608810446626,3508.0892120143117,3655.849011230469,6.192611123998414,31.581864963268654,,,0,0
2021-10-13,3514.1479228070693,3485.034308397464,3494.78662109375,3793.6387634785647,3489.43794550581,3641.5383544921874,6.846508060024785,6.933033462780995,,,0,0
2021-10-14,3515.670194062545,3456.468943474902,3459.582275390625,3794.0521780178537,3461.782880575896,3627.917529296875,0.8688480793972709,4.635989087806814,,,0,0
2021-10-18,3499.0976656338566,3450.002815862196,3493.781005859375,3795.350598090614,3443.8765747609486,3619.6135864257812,12.000770908076301,6.57204234916611,,,0,0
