Date,High,Low,Close,Volume,%k,%d,macd,macd_signal,macd_hist,buy_price,sell_price,stoch_macd_signal,position
2024-02-20,11372.532243456102,11209.96714752857,11339.345703125,355044,88.17642005809641,91.3970496808019,305.11785312529173,211.07834899650067,94.03950412879107,,,0,0
2024-02-21,11413.197824126162,11263.610733470574,11358.5634765625,348461,87.86523097746397,89.470817041107,319.1469271597325,232.69206462914707,86.45486253058544,,,0,0
2024-02-22,11585.569886527319,11284.662075237651,11548.7177734375,584406,97.12739835568101,91.05634979708047,341.67036865070986,254.48772543345967,87.18264321725019,,,0,0
2024-02-23,11610.336091044248,11367.826875392042,11427.6611328125,472884,85.38823568887119,90.12695500733872,345.7663202117219,272.74344438911214,73.02287582260976,,,0,0
2024-02-26,11426.026866424154,11309.626315522653,11359.703125,277700,77.18457138249371,86.56673514234865,339.613890524206,286.1175336161309,53.496356908075086,,,0,0
2024-02-27,11454.706590644213,11277.727827723058,11393.0390625,307585,80.21918296784528,80.93066334640339,333.58264415336635,295.61055572357805,37.9720884297883,,,0,0
2024-02-28,11391.354830182398,11025.856891841639,11048.443359375,358812,48.85021027987169,68.75132154340356,297.5666811445535,296.0017808077731,1.564900336780397,,,0,0
2024-02-29,11242.807494763942,11025.361354566507,11182.724609375,943841,60.02679727418806,63.03206350730168,276.669867606086,292.1353981674357,-15.465530561349738,,,0,0
2024-03-01,11565.75695094721,11189.312613357493,11512.212890625,487355,90.82742454165924,66.56814403190633,283.4287527385568,290.39406908165995,-6.965316343103154,,,0,0
2024-03-04,11568.03544847821,11436.131911908838,11485.6640625,369936,87.62053494568656,79.49158558717797,283.3763630319336,288.9905278717147,-5.614164839781097,,,0,0
2024-03-05,11620.243021869692,11453.61666672415,11561.3984375,320702,92.07995438123514,90.17597128952697,286.14744530700773,288.4219113587733,-2.2744660517655575,,,0,0
2024-03-06,11569.720064629973,11410.62317936945,11458.8173828125,639542,74.21673717502185,84.63907550064785,276.8744775382529,286.1124245946692,-9.237947056416317,,,0,0
2024-03-07,11524.645661175344,11314.283001241885,11402.3505859375,255325,63.37213803881746,76.55627653169148,261.9495933244052,281.27985834061644,-19.33026501621123,,,0,0
2024-03-11,11447.772063738967,11243.847617582318,11288.921875,525344,44.30469703803598,60.63119075062509,238.22268324361903,272.668423321217,-34.445740077597975,,,0,0
2024-03-12,11467.58458583981,11274.507879934885,11402.2021484375,283816,63.347185597322174,57.00800689139188,225.95503837484284,263.3257463319422,-37.37070795709934,,,0,0
2024-03-13,11446.731377415133,11162.169163338827,11283.5732421875,385204,43.40558834020919,50.352490325189116,204.30537493492193,251.52167205253815,-47.21629711761622,,,0,0
2024-03-14,11352.768727666931,11196.296473053264,11297.88671875,523058,45.811693175711724,50.854822371081035,186.15693732247746,238.44872510652604,-52.29178778404858,,,0,0
2024-03-15,11413.247641776676,11208.184535384537,11369.263671875,972333,57.8102059973587,49.00916250442654,175.51051736460795,225.86108355814244,-50.35056619353449,,,0,0
2024-03-18,11556.247237062124,11259.945335361286,11527.4189453125,311049,84.39621160658774,62.67270359321939,177.78556037992712,216.2459789224994,-38.460418542572285,,,0,0
2024-03-19,11570.660823933049,11348.95511550111,11488.5361328125,409259,77.85998522121768,73.35546760838804,174.44019239614863,207.88482161722925,-33.44462922108062,,,0,0
2024-03-20,11912.482020386762,11542.130523504575,11829.4169921875,1031037,90.63655809185124,84.29758497321889,197.02403028041044,205.7126633498655,-8.68863306945505,,,0,0
2024-03-21,11887.716740749876,11714.700543048933,11796.7265625,544311,84.57237447027155,84.35630592778016,209.86484870149434,206.54310042019128,3.3217482813030585,,,0,0
2024-03-22,12311.018065408532,11778.795091826938,12222.2568359375,1062263,92.27389874237379,89.16094376816552,251.47913168508967,215.53030667317097,35.9488250119187,,,0,0
2024-03-26,12206.60483621221,12027.59544577076,12135.921875,507568,84.75898875012298,87.20175398758943,274.32993620787784,227.29023258011236,47.039703627765476,,,0,0
2024-03-27,12603.654649818705,12170.743632706155,12393.291015625,878986,85.40646880133247,87.47978543127641,309.63759272193784,243.75970460847748,65.87788811346036,,,0,0
2024-03-28,12607.715244067227,12269.608978832279,12482.4482421875,860324,91.33427819771708,87.16657858305751,340.88391042629155,263.18454577204034,77.69936465425121,,,0,0
2024-04-01,12570.269493686326,12389.130801381258,12451.986328125,314676,89.2269836279618,88.65591020900378,359.0499165039073,282.3576199184138,76.69229658549352,,,0,0
2024-04-02,12529.652816630592,12345.640877139042,12434.9970703125,333508,88.05170059554963,89.53765414040951,367.8355369784895,299.45320333042895,68.38233364806052,,,0,0
2024-04-03,12408.29917811543,12296.40585524097,12311.5625,271935,79.5127427609919,85.59714232816778,360.6803675022675,311.69863616479665,48.98173133747082,,,0,0
2024-04-04,12530.643268123744,12202.789774805948,12449.658203125,491166,88.80154889617353,85.45533075090502,361.98032935847914,321.7549748035332,40.225354554945966,,,0,0
2024-04-05,12440.396512890336,12268.618624249375,12305.37109375,231600,78.39674767824074,82.23701311180206,347.36360323461486,326.87670048974957,20.48690274486529,,,0,0
2024-04-08,12806.68619589216,12333.505186254419,12744.720703125,570422,95.9938025594092,87.7306997112745,367.00102478874214,334.9015653495481,32.09945943919405,,,0,0
2024-04-09,12864.193242986257,12660.417780529853,12767.4072265625,314466,93.6124880526605,89.33434609677015,380.0138723228738,343.9240267442133,36.089845578660515,,,0,0
2024-04-10,12836.752624135144,12482.994378439655,12564.078125,464239,77.29947955087047,88.96859005431338,369.6584955104645,349.07092049746353,20.587575013000958,,,0,0
2024-04-12,12541.541167238427,12110.611435188765,12151.7724609375,973366,38.02302684587713,69.6449981498027,324.44219579763194,344.1451755574972,-19.702979759865286,,,0,0
2024-04-15,12392.944302011525,11920.358238160392,12306.609375,831257,48.62863296839974,54.65037978838245,297.6706356538434,334.8502675767665,-37.17963192292308,,,0,0
2024-04-16,12432.47143545048,12160.48961573651,12385.712890625,579183,49.304661311058766,45.318773708445214,279.61376059784016,323.80296618098123,-44.189205583141074,,,0,0
2024-04-18,12484.0834342566,12204.771439129938,12288.9267578125,679117,39.050100681538915,45.66113165366581,254.55932355641016,309.954237656067,-55.39491409965683,,,0,0
2024-04-19,12640.010518090714,12110.610518751018,12592.013671875,635535,71.16237798772111,53.1723799934396,256.20669140008977,299.20472840487156,-42.99803700478179,,,0,0
2024-04-22,12758.640315842142,12540.549870107372,12665.8662109375,342212,78.98710780648065,63.066528825246884,260.4690004746244,291.4575828188222,-30.988582344197766,,,0,0
2024-04-23,12902.630196961863,12656.752402426113,12874.64453125,397281,97.15092490820868,82.4334702341368,277.4947895411442,288.6650241632866,-11.170234622142402,,,0,0
2024-04-24,12951.617532732826,12779.294985547398,12822.9326171875,296364,87.52157520202724,87.88653597223885,283.5465822516235,287.64133578095397,-4.0947535293304895,,,0,0
2024-04-25,12859.240580595935,12621.138940333602,12801.5849609375,640725,85.45151810170788,90.04133940398127,283.35376826693755,286.7838222781507,-3.4300540112131443,,,0,0
2024-04-26,12922.937943132923,12541.540387892896,12584.484375,704626,64.39952981126427,79.12420770499979,262.65503514697593,281.95806485191576,-19.30302970493983,,,0,0
2024-04-29,12873.208119876948,12485.074366154175,12571.111328125,613937,63.10276119590411,70.98460303629209,242.37806346299294,274.04206457413125,-31.664001111138305,,,0,0
2024-04-30,12874.39716848303,12620.99086799309,12697.5673828125,528776,75.36505597986816,67.62244899567885,233.81706649519583,265.99706495834414,-32.17999846314831,,,0,0
2024-05-02,12723.96799674804,12397.69913600364,12685.5302734375,814923,74.19783165148132,70.88854960908454,223.48492548486865,257.49463706364907,-34.00971157878041,,,0,0
2024-05-03,12709.950079589042,12295.267294047988,12375.26171875,834990,44.11145509027522,64.55811424054157,188.0923385588576,243.61417736269078,-55.52183880383319,,,0,0
2024-05-06,12528.068019142811,12256.73051453845,12322.9052734375,342231,39.0345122119851,52.44793298458055,154.04301882199616,225.69994565455187,-71.65692683255571,,,0,0
2024-05-07,12391.457949651945,12124.479661493397,12248.359375,604375,16.379037743906547,33.17500168205562,119.66404400953252,204.49276532554802,-84.8287213160155,,,0,0
2024-05-08,12442.426619510847,12209.674855454765,12426.1796875,399669,37.52277489992587,30.978774951939176,105.5503531278664,184.70428288601173,-79.15392975814532,,,0,0
2024-05-09,12620.593655147288,12320.379483742065,12387.64453125,504590,32.940749350869794,28.947520664900736,90.21573552111295,165.80657341303197,-75.59083789191902,,,0,0
2024-05-10,12578.144993920443,12384.028302091756,12556.8955078125,328670,52.278569432584156,40.914031227793274,90.67483683110731,150.78022609664706,-60.10538926553974,,,0,0
2024-05-13,12589.48823271407,12360.797709450473,12555.2607421875,281421,52.080928182939715,45.76674898879789,89.87079146194628,138.59833916970692,-48.727547707760635,,,0,0
2024-05-14,12719.856247734198,12533.021363027905,12694.2978515625,331037,68.89035188477786,57.74994983343391,99.30795220306572,130.7402617763787,-31.432309573312978,,,0,0
2024-05-15,12751.95407985678,12581.166829780212,12647.8369140625,232030,65.54597335936695,62.17241780902818,101.86373894094322,124.96495720929161,-23.10121826834839,,,0,0
2024-05-16,12727.781351400896,12184.908983673024,12380.7099609375,914201,32.09063082393846,55.50898535602776,81.39602301402738,116.25117037023877,-34.85514735621139,,,0,0
2024-05-17,12547.385944096079,12207.00041843961,12523.2138671875,809226,53.1704090086825,50.269004397329304,75.80030621357764,108.16099753890654,-32.3606913253289,,,0,0
2024-05-21,12560.26468427875,12325.382634225372,12356.587890625,443136,30.95116822426868,38.73740268562988,57.26027576136221,97.98085318339767,-40.72057742203546,,,0,0
2024-05-22,12445.44798786668,12247.41806553303,12414.09375,280015,46.15552125009216,43.42569949434778,46.669434123456085,87.71856937140936,-41.049135247953274,,,0,0
